supervisor, time, width, height, searchers, rescuers
mothership, 164.537847996, 8, 8, 3, 3
supervisor, 208.448565006, 8, 8, 3, 3
mothership, 151.415313005, 8, 8, 3, 3
supervisor, 142.527652025, 8, 8, 3, 3
mothership, 157.760414839, 8, 8, 3, 3
mothership, 153.436719179, 8, 8, 3, 3
mothership, 135.992874861, 8, 8, 3, 3
supervisor, 125.537865877, 8, 8, 3, 3
mothership, 154.354034901, 8, 8, 3, 3
supervisor, 133.546905994, 8, 8, 3, 3
mothership, 127.105545044, 8, 8, 3, 3
supervisor, 147.451216936, 8, 8, 3, 3
mothership, 149.834205866, 8, 8, 3, 3
supervisor, 128.759315968, 8, 8, 3, 3
