supervisor, time, width, height, searchers, rescuers
mothership, 164.537847996, 8, 8, 3, 3
supervisor, 208.448565006, 8, 8, 3, 3
mothership, 151.415313005, 8, 8, 3, 3
supervisor, 142.527652025, 8, 8, 3, 3
mothership, 157.760414839, 8, 8, 3, 3
mothership, 153.436719179, 8, 8, 3, 3
mothership, 135.992874861, 8, 8, 3, 3
supervisor, 125.537865877, 8, 8, 3, 3
mothership, 154.354034901, 8, 8, 3, 3
supervisor, 133.546905994, 8, 8, 3, 3
mothership, 127.105545044, 8, 8, 3, 3
supervisor, 147.451216936, 8, 8, 3, 3
mothership, 149.834205866, 8, 8, 3, 3
supervisor, 128.759315968, 8, 8, 3, 3
mothership, 101.600993872, 8, 8, 6, 3
supervisor, 127.449527979, 8, 8, 6, 3
mothership, 131.489975929, 8, 8, 6, 3
supervisor, 125.58378005, 8, 8, 6, 3
mothership, 150.607288122, 8, 8, 6, 3
mothership, 169.141407967, 8, 8, 6, 3
mothership, 145.395437002, 8, 8, 6, 3
supervisor, 134.730029106, 8, 8, 6, 3
mothership, 130.344929934, 8, 8, 6, 3
supervisor, 166.091883898, 8, 8, 6, 3
mothership, 157.332930088, 8, 8, 6, 3
supervisor, 104.614428997, 8, 8, 6, 3
mothership, 159.691309929, 8, 8, 6, 3
supervisor, 145.506377935, 8, 8, 6, 3
mothership, 144.975679874, 8, 8, 6, 3
supervisor, 115.733247042, 8, 8, 6, 3
mothership, 902.501332998, 8, 8, 1, 1
supervisor, 336.029291153, 8, 8, 1, 1
mothership, 400.858610153, 8, 8, 1, 1
mothership, 317.616708994, 8, 8, 1, 1
supervisor, 360.8955791, 8, 8, 1, 1
mothership, 370.475383997, 8, 8, 1, 1
supervisor, 308.167169809, 8, 8, 1, 1
mothership, 366.339882135, 8, 8, 1, 1
supervisor, 336.769582987, 8, 8, 1, 1
mothership, 365.025645018, 8, 8, 1, 1
supervisor, 336.843307972, 8, 8, 1, 1
supervisor, 391.540929079, 8, 8, 1, 1
mothership, 318.570859909, 8, 8, 1, 1
supervisor, 340.68850112, 8, 8, 1, 1
