supervisor, time, width, height, searchers, rescuers
mothership, 902.501332998, 8, 8, 1, 1
supervisor, 336.029291153, 8, 8, 1, 1
mothership, 400.858610153, 8, 8, 1, 1
mothership, 317.616708994, 8, 8, 1, 1
supervisor, 360.8955791, 8, 8, 1, 1
mothership, 370.475383997, 8, 8, 1, 1
supervisor, 308.167169809, 8, 8, 1, 1
mothership, 366.339882135, 8, 8, 1, 1
supervisor, 336.769582987, 8, 8, 1, 1
mothership, 365.025645018, 8, 8, 1, 1
supervisor, 336.843307972, 8, 8, 1, 1
supervisor, 391.540929079, 8, 8, 1, 1
mothership, 318.570859909, 8, 8, 1, 1
supervisor, 340.68850112, 8, 8, 1, 1
